player,avg_position,median_position,highest_position,lowest_position,typical_position,position_role
R Sai Kishore,9.4,9.0,9,10,9,tailender
R Sanjay Yadav,8.0,8.0,8,8,8,lower_order
R Sathish,6.12,6.0,1,8,7,lower_order
R Sharma,9.3,9.0,8,11,10,tailender
R Shepherd,7.0,7.0,6,8,7,lower_order
R Shukla,8.75,8.5,8,10,8,lower_order
R Tewatia,6.308641975308642,6.0,4,8,6,middle_order
R Vinay Kumar,8.521739130434783,8.0,7,10,8,lower_order
RA Bawa,5.666666666666667,5.0,5,7,5,middle_order
RA Jadeja,5.885572139303482,6.0,3,8,6,middle_order
RA Tripathi,3.173469387755102,3.0,1,8,3,top_order
RD Chahar,9.041666666666666,9.0,8,10,9,tailender
RD Gaikwad,1.5466666666666666,1.0,1,5,1,opener
RD Rickelton,1.3157894736842106,1.0,1,2,1,opener
RE Levi,1.1666666666666667,1.0,1,2,1,opener
RE van der Merwe,6.266666666666667,7.0,3,8,8,lower_order
RG More,11.0,11.0,11,11,11,tailender
RG Sharma,2.7773722627737225,3.0,1,6,4,top_order
RJ Gleeson,11.0,11.0,11,11,11,tailender
RJ Harris,8.238095238095237,8.0,7,9,8,lower_order
RJ Peterson,6.6,7.0,4,8,7,lower_order
RJ Quiney,1.7142857142857142,1.0,1,3,1,opener
RJW Topley,10.0,10.0,10,10,10,tailender
RK Bhui,3.25,3.5,1,5,1,opener
RK Singh,5.818181818181818,6.0,3,8,6,middle_order
RM Patidar,3.697674418604651,4.0,3,5,4,top_order
RN ten Doeschate,5.909090909090909,6.0,4,8,6,middle_order
RP Meredith,10.666666666666666,11.0,10,11,11,tailender
RP Singh,9.6,10.0,8,11,10,tailender
RR Bhatkal,6.0,6.0,6,6,6,middle_order
RR Pant,4.0458015267175576,4.0,1,8,4,top_order
RR Powar,9.1,9.0,8,10,9,tailender
RR Raje,9.0,9.0,9,9,9,tailender
RR Rossouw,3.6818181818181817,3.5,1,6,3,top_order
RR Sarwan,3.5,3.5,2,5,2,opener
RS Bopara,2.772727272727273,1.0,1,6,1,opener
RS Gavaskar,8.0,8.0,8,8,8,lower_order
RS Sodhi,6.0,6.0,6,6,6,middle_order
RT Ponting,2.0,2.0,1,3,1,opener
RV Gomez,6.444444444444445,7.0,4,7,7,lower_order
RV Patel,6.714285714285714,6.0,5,8,6,middle_order
RV Uthappa,2.6717171717171717,3.0,1,8,1,opener
Rahmanullah Gurbaz,1.5,1.0,1,4,1,opener
Ramandeep Singh,7.173913043478261,7.0,4,9,8,lower_order
Rashid Khan,7.614285714285714,8.0,5,8,8,lower_order
Rasikh Salam,9.166666666666666,9.5,8,10,10,tailender
Ravi Bishnoi,9.052631578947368,9.0,8,10,9,tailender
S Anirudha,5.3076923076923075,7.0,1,8,7,lower_order
S Aravind,9.5,10.0,8,11,10,tailender
S Arora,6.25,6.0,6,7,6,middle_order
S Badree,8.6,9.0,8,9,9,tailender
S Badrinath,4.895522388059701,4.0,1,8,4,top_order
S Chanderpaul,1.3333333333333333,1.0,1,2,1,opener
S Dhawan,1.9864864864864864,2.0,1,7,2,opener
S Dube,4.85,5.0,3,7,4,top_order
S Gopal,8.181818181818182,8.0,5,10,8,lower_order
S Kaul,10.166666666666666,10.0,9,11,10,tailender
S Kaushik,11.0,11.0,11,11,11,tailender
S Ladda,9.5,9.5,9,10,9,tailender
S Lamichhane,11.0,11.0,11,11,11,tailender
S Nadeem,9.272727272727273,9.0,8,11,9,tailender
S Narwal,8.0,8.0,7,9,8,lower_order
S Rana,6.0,6.0,4,7,6,middle_order
S Randiv,10.0,10.0,10,10,10,tailender
S Sohal,1.95,1.0,1,7,1,opener
S Sreesanth,9.571428571428571,10.0,8,11,10,tailender
S Sriram,2.5,2.5,1,4,1,opener
S Tyagi,11.0,11.0,11,11,11,tailender
S Vidyut,2.5,2.0,1,7,1,opener
SA Abbott,7.0,7.0,7,7,7,lower_order
SA Asnodkar,2.05,2.0,1,3,2,opener
SA Yadav,3.8797468354430378,4.0,1,8,3,top_order
SB Bangar,7.125,7.0,6,8,7,lower_order
SB Dubey,6.7272727272727275,7.0,5,8,7,lower_order
SB Jakati,9.375,9.5,8,11,10,tailender
SB Joshi,9.5,9.5,8,11,8,lower_order
SB Styris,4.8,5.0,3,6,6,middle_order
SB Wagh,9.0,9.0,8,10,8,lower_order
SC Ganguly,2.5714285714285716,3.0,1,7,3,top_order
SD Chitnis,6.25,6.5,5,8,5,middle_order
SD Hope,3.7777777777777777,4.0,3,6,3,top_order
SD Lad,2.0,2.0,2,2,2,opener
SE Bond,9.0,9.0,9,9,9,tailender
SE Marsh,2.4714285714285715,3.0,1,4,3,top_order
SE Rutherford,5.333333333333333,5.0,4,7,5,middle_order
SH Johnson,10.4,10.0,10,11,10,tailender
SJ Srivastava,10.5,10.5,10,11,10,tailender
SK Raina,3.1791044776119404,3.0,3,6,3,top_order
SK Rasheed,1.2,1.0,1,2,1,opener
SK Trivedi,10.533333333333333,11.0,10,11,11,tailender
SK Warne,8.03448275862069,8.0,6,11,8,lower_order
SL Malinga,9.64,9.0,9,11,9,tailender
SM Curran,5.113207547169812,5.0,1,8,6,middle_order
SM Harwood,9.0,9.0,9,9,9,tailender
SM Katich,2.6363636363636362,2.0,2,5,2,opener
SM Pollock,5.875,6.0,4,7,6,middle_order
SMSM Senanayake,8.25,9.0,6,9,9,tailender
SN Khan,5.073170731707317,5.0,2,7,6,middle_order
SN Thakur,7.8604651162790695,8.0,3,10,8,lower_order
SO Hetmyer,5.409638554216867,5.0,1,8,5,middle_order
SP Fleming,2.0,2.0,2,2,2,opener
SP Goswami,3.142857142857143,2.0,1,8,2,opener
SP Jackson,5.875,6.0,3,7,6,middle_order
SP Narine,4.379032258064516,2.0,1,11,2,opener
SPD Smith,3.8210526315789473,3.0,1,7,3,top_order
SR Tendulkar,2.0641025641025643,2.0,1,5,2,opener
SR Watson,2.6573426573426575,3.0,1,7,1,opener
SS Cottrell,10.0,10.0,10,10,10,tailender
SS Iyer,3.347826086956522,3.0,2,6,3,top_order
SS Prabhudessai,5.9,6.0,5,7,5,middle_order
SS Shaikh,7.0,7.0,7,7,7,lower_order
SS Tiwary,4.767123287671233,5.0,1,8,4,top_order
ST Jayasuriya,1.3333333333333333,1.0,1,4,1,opener
STR Binny,5.6911764705882355,6.0,4,8,5,middle_order
SV Samson,3.0847457627118646,3.0,1,8,3,top_order
SW Billings,4.111111111111111,5.0,1,6,5,middle_order
SW Tait,10.0,10.0,10,10,10,tailender
SZ Mulani,9.0,9.0,9,9,9,tailender
Sachin Baby,5.818181818181818,6.0,5,7,6,middle_order
Salman Butt,1.0,1.0,1,1,1,opener
Sameer Rizvi,4.846153846153846,5.0,3,7,4,top_order
Sandeep Sharma,10.428571428571429,11.0,9,11,11,tailender
Sanvir Singh,7.8,8.0,6,10,8,lower_order
Saurav Chauhan,5.666666666666667,5.0,4,8,4,top_order
Sediqullah Atal,4.0,4.0,4,4,4,top_order
Shahbaz Ahmed,6.17948717948718,6.0,3,9,6,middle_order
Shahid Afridi,4.333333333333333,5.0,2,6,5,middle_order
Shakib Al Hasan,5.471698113207547,5.0,2,8,5,middle_order
Shashank Singh,5.944444444444445,6.0,4,8,6,middle_order
Shivam Mavi,9.0,9.0,8,10,8,lower_order
Shivam Sharma,9.5,9.5,9,10,9,tailender
Shivam Singh,7.0,7.0,7,7,7,lower_order
Shivang Kumar,9.0,9.0,9,9,9,tailender
Shoaib Ahmed,9.666666666666666,10.0,8,11,8,lower_order
Shoaib Akhtar,9.0,9.0,9,9,9,tailender
Shoaib Malik,4.8,5.0,4,6,4,top_order
Shubman Gill,2.389830508474576,2.0,1,7,2,opener
Sikandar Raza,5.666666666666667,5.0,4,8,5,middle_order
Simarjeet Singh,9.333333333333334,9.0,8,11,9,tailender
Sohail Tanvir,6.2,8.0,3,9,3,top_order
Sumit Kumar,7.333333333333333,8.0,6,8,8,lower_order
Sunny Gupta,9.0,9.0,9,9,9,tailender
Sunny Singh,6.0,6.0,4,7,6,middle_order
Suryansh Shedge,7.333333333333333,7.0,7,8,7,lower_order
Swapnil Singh,7.888888888888889,8.0,7,9,8,lower_order
T Banton,2.5,2.5,1,4,1,opener
T Henderson,6.0,6.0,4,8,4,top_order
T Kohler-Cadmore,2.0,2.0,2,2,2,opener
T Kohli,5.5,6.5,1,8,1,opener
T Natarajan,10.6,11.0,10,11,11,tailender
T Shamsi,8.0,8.0,8,8,8,lower_order
T Stubbs,5.6571428571428575,6.0,2,8,6,middle_order
T Taibu,5.0,5.0,5,5,5,middle_order
T Thushara,8.5,8.5,8,9,8,lower_order
TA Boult,9.366666666666667,9.0,8,11,9,tailender
TD Paine,2.0,2.0,2,2,2,opener
TG Southee,8.85,9.0,8,10,9,tailender
TH David,6.163265306122449,6.0,4,8,6,middle_order
TK Curran,7.5,8.0,6,8,8,lower_order
TL Seifert,3.6666666666666665,2.0,2,7,2,opener
TL Suman,4.05,3.0,1,7,3,top_order
TM Dilshan,2.8,2.5,1,6,2,opener
TM Head,2.0476190476190474,2.0,1,6,1,opener
TM Srivastava,7.666666666666667,8.0,6,9,6,middle_order
TR Birt,5.8,6.0,5,7,5,middle_order
TS Mills,9.6,9.0,9,11,9,tailender
TU Deshpande,10.11111111111111,10.0,9,11,10,tailender
Tanush Kotian,2.0,2.0,2,2,2,opener
Tilak Varma,4.482142857142857,4.5,3,7,5,middle_order
U Kaul,11.0,11.0,11,11,11,tailender
UA Birla,4.0,4.0,4,4,4,top_order
UBT Chand,2.4,3.0,1,4,3,top_order
UT Khawaja,2.0,2.0,2,2,2,opener
UT Yadav,9.423076923076923,9.0,8,11,9,tailender
Umar Gul,8.75,9.0,8,9,9,tailender
Umran Malik,9.833333333333334,10.0,9,10,10,tailender
Urvil Patel,3.0,3.0,3,3,3,top_order
V Kohli,2.545112781954887,2.0,1,7,3,top_order
V Nigam,7.333333333333333,8.0,5,8,8,lower_order
V Pratap Singh,11.0,11.0,11,11,11,tailender
V Sehwag,1.9423076923076923,2.0,1,5,2,opener
V Shankar,4.876923076923077,5.0,3,8,5,middle_order
V Suryavanshi,2.0,2.0,2,2,2,opener
V Viyaskanth,11.0,11.0,11,11,11,tailender
VG Arora,10.272727272727273,10.0,9,11,10,tailender
VH Zol,3.0,3.0,3,3,3,top_order
VR Aaron,9.76923076923077,10.0,8,11,10,tailender
VR Iyer,3.3333333333333335,3.0,1,9,2,opener
VRV Singh,10.5,10.5,10,11,10,tailender
VS Malik,10.0,10.0,10,10,10,tailender
VS Yeligati,11.0,11.0,11,11,11,tailender
VVS Laxman,2.45,2.0,1,5,2,opener
VY Mahesh,9.0,9.0,9,9,9,tailender
Vijaykumar Vyshak,9.5,9.5,9,10,9,tailender
Virat Singh,4.0,4.0,4,4,4,top_order
Vishnu Vinod,4.5,5.5,2,6,6,middle_order
Vivrant Sharma,1.0,1.0,1,1,1,opener
W Jaffer,1.875,2.0,1,2,2,opener
WA Mota,7.125,7.0,6,10,6,middle_order
WD Parnell,7.428571428571429,8.0,3,9,8,lower_order
WG Jacks,3.210526315789474,3.0,1,7,3,top_order
WP Saha,3.3517241379310345,3.0,1,9,1,opener
WPUJC Vaas,8.090909090909092,8.0,6,9,8,lower_order
Washington Sundar,6.244897959183674,6.0,1,9,8,lower_order
X Thalaivan Sargunam,6.0,6.0,6,6,6,middle_order
XC Bartlett,9.5,9.5,9,10,9,tailender
Y Gnaneswara Rao,3.0,3.0,3,3,3,top_order
Y Nagar,6.5,7.0,3,8,8,lower_order
Y Prithvi Raj,9.0,9.0,9,9,9,tailender
Y Venugopal Rao,5.388888888888889,6.0,2,8,6,middle_order
YA Abdulla,11.0,11.0,11,11,11,tailender
YBK Jaiswal,1.1944444444444444,1.0,1,3,1,opener
YK Pathan,4.787096774193548,5.0,1,8,5,middle_order
YS Chahal,10.65,11.0,9,11,11,tailender
YV Dhull,4.333333333333333,4.0,4,5,4,top_order
YV Takawale,3.2,2.0,1,8,2,opener
Yash Dayal,10.0,10.0,10,10,10,tailender
Yashpal Singh,5.25,5.0,4,7,5,middle_order
Younis Khan,3.0,3.0,3,3,3,top_order
Yudhvir Singh,8.75,9.0,8,9,9,tailender
Yuvraj Singh,4.173228346456693,4.0,1,6,4,top_order
Z Khan,9.0625,9.0,3,11,9,tailender
